,Unnamed: 0,hostname,pl_mass (Mj),pl_mass_max,pl_mass_min,pl_mass_limflag,pl_orb_period,pl_orb_per_max,pl_orb_per_min,pl_orb_per_limflag,pl_semImjr_axis,pl_semImjr_axis_max,pl_semImjr_axis_min,pl_semImjr_axisax_limflag,[Fe/H]
120,120,EPIC 212297394,0.0182,,,0.0,5.213965,0.000442,-0.000442,0,,,,,-0.25
121,121,EPIC 212424622,0.0168,,,0.0,18.0983,0.006,-0.0058,0,,,,,-0.11
122,122,EPIC 212499991,0.01,,,0.0,34.885,0.011,-0.01,0,,,,,-0.3
123,123,EPIC 212587672,0.00669,,,0.0,15.28078,0.000121,-0.000116,0,,,,,-0.25
124,124,EPIC 212587672,0.0189,,,0.0,23.228555,6.8e-05,-7.1e-05,0,,,,,-0.25
125,125,EPIC 212624936,0.00588,,,0.0,0.578657,1.6e-05,-1.6e-05,0,,,,,-0.39
126,126,EPIC 212624936,0.0186,,,0.0,11.811437,0.00011,-0.00011,0,,,,,-0.39
127,127,EPIC 212737443,0.0227,,,0.0,13.603,0.0013,-0.0013,0,0.098,0.004,-0.004,0.0,-0.14
128,128,EPIC 212737443,0.0242,,,0.0,65.55,0.0089,-0.0089,0,0.28,0.006,-0.006,0.0,-0.14
129,129,EPIC 220492298,0.00295,,,0.0,0.762406,0.00015,-0.00015,0,,,,,0.28
130,130,K2-282,0.01,,,0.0,0.70531,3.7e-05,-3.7e-05,0,,,,,0.15
131,131,K2-282,0.0214,,,0.0,4.169783,8.9e-05,-8.9e-05,0,0.0499,0.0006,-0.0007,0.0,0.15
132,132,EPIC 220674823,0.02583,0.00239,-0.00233,0.0,0.571292,1.2e-05,-1.2e-05,0,0.01326,0.00028,-0.00023,0.0,0.09
133,133,EPIC 220674823,0.028,0.00755,-0.00755,0.0,13.3397,0.00096,-0.00096,0,0.1083,0.0023,-0.0018,0.0,0.09
134,134,EPIC 228836835,0.0043,,,0.0,0.728113,6.3e-05,-6.3e-05,0,,,,,-0.18
137,137,EPIC 249893012,0.02753,0.00343,-0.0034,0.0,3.5951,0.0003,-0.0003,0,0.047,0.005,-0.007,0.0,0.16
138,138,EPIC 249893012,0.04616,0.00579,-0.00595,0.0,15.624,0.001,-0.001,0,0.13,0.01,-0.02,0.0,0.16
139,139,EPIC 249893012,0.03203,0.00774,-0.00761,0.0,35.747,0.005,-0.005,0,0.22,0.02,-0.04,0.0,0.16
140,140,G 264-012,0.00787,0.00091,-0.00094,0.0,2.30538,0.00031,-0.00031,0,0.02279,0.00061,-0.00061,0.0,0.1
141,141,G 264-012,0.0118,0.00151,-0.00148,0.0,8.0518,0.0034,-0.0034,0,0.0525,0.0014,-0.0014,0.0,0.1
142,142,G 9-40,0.03681,,,1.0,5.746007,6e-06,-6e-06,0,0.0385,0.0078,-0.0053,0.0,-0.08
143,143,GJ 1002,0.0034,0.00041,-0.00041,0.0,10.3465,0.027,-0.027,0,0.0457,0.0013,-0.0013,0.0,-0.25
144,144,GJ 1002,0.00428,0.00053,-0.00053,0.0,21.202,0.013,-0.013,0,0.0738,0.0021,-0.0021,0.0,-0.25
145,145,GJ 1061,0.00431,0.0005,-0.00047,0.0,3.204,0.001,-0.001,0,0.021,0.001,-0.001,0.0,-0.08
146,146,GJ 1061,0.00547,0.00072,-0.00072,0.0,6.689,0.005,-0.005,0,0.035,0.001,-0.001,0.0,-0.08
147,147,GJ 1061,0.00516,0.00076,-0.00072,0.0,13.031,0.025,-0.032,0,0.054,0.001,-0.001,0.0,-0.08
148,148,GJ 1132,0.00522,0.00072,-0.00072,0.0,1.628931,2.7e-05,-2.7e-05,0,0.0153,0.0005,-0.0005,0.0,-0.12
149,149,GJ 1132,0.00831,0.00138,-0.00138,0.0,8.929,0.01,-0.01,0,0.0476,0.0017,-0.0017,0.0,-0.12
150,150,GJ 1151,0.03341,0.00412,-0.00463,0.0,389.7,5.4,-6.5,0,0.5714,0.0053,-0.0064,0.0,-0.12
151,151,GJ 1214,0.02571,0.00135,-0.00135,0.0,1.58040433,1.3e-07,-1.3e-07,0,0.0149,0.00026,-0.00026,0.0,0.05
152,152,GJ 1252,0.00415,0.00088,-0.00088,0.0,0.5182331,8.4e-06,-8.4e-06,0,0.00915,0.00015,-0.00015,0.0,0.1
153,153,GJ 1265,0.02328,0.00157,-0.00157,0.0,3.6511,0.0012,-0.0012,0,0.026,0.001,-0.001,0.0,-0.04
154,154,GJ 143,0.07142,0.00692,-0.00598,0.0,35.61253,0.0006,-0.00062,0,0.1915,0.0058,-0.0063,0.0,-0.01
155,155,GJ 143,0.01164,,,1.0,7.78993,0.00051,-0.00044,0,0.0695,0.0021,-0.0023,0.0,-0.01
156,156,GJ 160.2,0.03209,0.02265,-0.01856,0.0,5.2354,0.0027,-0.0065,0,0.053,0.004,-0.007,0.0,-0.26
157,157,GJ 163,0.03335,0.00189,-0.00189,0.0,8.63182,0.00155,-0.00155,0,0.0607,1e-05,-1e-05,0.0,-0.02
158,158,GJ 163,0.0214,0.00283,-0.00283,0.0,25.63058,0.0255,-0.0255,0,0.1254,0.0001,-0.0001,0.0,-0.02
159,159,GJ 163,0.0925,0.00912,-0.00912,0.0,603.95116,7.55862,-7.55862,0,1.0304,0.0086,-0.0086,0.0,-0.02
161,161,GJ 180,0.02042,0.00214,-0.00214,0.0,17.133,0.003,-0.003,0,0.092,0.003,-0.003,0.0,
162,162,GJ 180,0.02014,0.01164,-0.0129,0.0,24.329,0.052,-0.066,0,0.129,0.007,-0.017,0.0,
163,163,GJ 180,0.02379,0.00337,-0.00337,0.0,106.3,0.129,-0.129,0,0.309,0.01,-0.01,0.0,
164,164,GJ 2030,0.015,0.002,-0.002,0.0,2.38129,0.00015,-0.00013,0,0.034,0.001,-0.002,0.0,
166,166,GJ 2056,0.05097,0.01133,-0.01133,0.0,69.971,0.061,-0.061,0,0.283,0.013,-0.013,0.0,
167,167,GJ 251,0.01259,0.00126,-0.00126,0.0,14.238,0.002,-0.002,0,0.0818,0.0011,-0.0012,0.0,-0.03
168,168,GJ 27.1,0.0409,0.0129,-0.02077,0.0,15.819,0.023,-0.026,0,0.101,0.009,-0.013,0.0,
169,169,GJ 273,0.00909,0.00085,-0.00082,0.0,18.6498,0.0059,-0.0052,0,0.091101,1.9e-05,-1.7e-05,0.0,0.09
170,170,GJ 273,0.00371,0.0005,-0.0005,0.0,4.7234,0.0004,-0.0004,0,0.036467,2e-06,-2e-06,0.0,0.09
172,172,GJ 3082,0.0258,0.00535,-0.00535,0.0,11.949,0.022,-0.022,0,0.079,0.003,-0.003,0.0,
173,173,GJ 3090,0.01051,0.00227,-0.00227,0.0,2.853136,6.4e-05,-3.8e-05,0,0.03165,0.00027,-0.00027,0.0,-0.06
174,174,GJ 3138,0.0056,0.00107,-0.00104,0.0,1.22003,6e-05,-4e-05,0,0.0197,0.0005,-0.0005,0.0,-0.3
175,175,GJ 3138,0.01315,0.00192,-0.00186,0.0,5.974,0.001,-0.001,0,0.057,0.001,-0.001,0.0,-0.3
176,176,GJ 3138,0.03304,0.00724,-0.00661,0.0,257.8,3.6,-3.5,0,0.698,0.018,-0.019,0.0,-0.3
179,179,GJ 3222,0.036,0.011,-0.006,0.0,10.66669,0.00285,-0.00231,0,0.091,0.004,-0.004,0.0,
181,181,GJ 328,0.06733,0.0107,-0.01007,0.0,241.8,1.3,-1.7,0,0.657,0.026,-0.028,0.0,0.0
182,182,GJ 3293,0.07406,0.00277,-0.0028,0.0,30.5987,0.0083,-0.0084,0,0.14339,3e-05,-3e-05,0.0,0.02
183,183,GJ 3293,0.06636,0.0039,-0.00396,0.0,122.6196,0.2429,-0.2371,0,0.36175,0.00048,-0.00047,0.0,0.02
184,184,GJ 3293,0.02391,0.0033,-0.0033,0.0,48.1345,0.0628,-0.0661,0,0.19394,0.00017,-0.00018,0.0,0.02
185,185,GJ 3293,0.01032,0.00201,-0.00201,0.0,13.2543,0.0078,-0.0104,0,0.08208,3e-05,-4e-05,0.0,0.02
186,186,GJ 3323,0.00636,0.00082,-0.00079,0.0,5.3636,0.0007,-0.0007,0,0.03282,0.00054,-0.00056,0.0,-0.27
187,187,GJ 3323,0.00727,0.00157,-0.00154,0.0,40.54,0.21,-0.19,0,0.1264,0.0021,-0.0022,0.0,-0.27
188,188,GJ 3341,0.0208,0.0003,-0.0003,0.0,14.207,0.007,-0.007,0,0.089,,,0.0,-0.09
