,Unnamed: 0,hostname,pl_mass (Mj),pl_mass_max,pl_mass_min,pl_mass_limflag,pl_orb_period,pl_orb_per_max,pl_orb_per_min,pl_orb_per_limflag,pl_semImjr_axis,pl_semImjr_axis_max,pl_semImjr_axis_min,pl_semImjr_axisax_limflag,[Fe/H]
65,65,CoRoT-20,4.3,0.2,-0.2,0,9.24285,0.0003,-0.0003,0,0.09,0.002,-0.002,0,0.14
66,66,CoRoT-20,17,1,-1,0,1675,19,-17,0,2.9,0.07,-0.07,0,0.14
67,67,CoRoT-21,2.26,0.31,-0.31,0,2.72474,0.00014,-0.00014,0,0.0417,0.0011,-0.0011,0,0
69,69,CoRoT-23,2.8,0.3,-0.3,0,3.6313,0.0001,-0.0001,0,0.048,0.004,-0.004,0,0.05
73,73,CoRoT-26,0.52,0.05,-0.05,0,4.20474,0.00005,-0.00005,0,0.0526,0.001,-0.001,0,0.23
74,74,CoRoT-27,10.39,0.55,-0.55,0,3.57532,0.00006,-0.00006,0,0.0476,0.0066,-0.0066,0,0.1
75,75,CoRoT-28,0.484,0.087,-0.087,0,5.20851,0.00038,-0.00038,0,0.0603,0.005,-0.005,0,0.23
76,76,CoRoT-29,0.85,0.2,-0.2,0,2.85057,0.000006,-0.000006,0,0.0386,0.0059,-0.0059,0,0.2
77,77,CoRoT-3,21.66,1,-1,0,4.2568,0.000005,-0.000005,0,0.05783,0.00085,-0.00085,0,0.14
78,78,CoRoT-30,2.9,0.22,-0.22,0,9.06005,0.00024,-0.00024,0,0.0844,0.0012,-0.0012,0,0.02
79,79,CoRoT-31,0.84,0.34,-0.34,0,4.62941,0.00075,-0.00075,0,0.0586,0.0034,-0.0034,0,0
80,80,CoRoT-35,1.1,0.37,-0.37,0,3.22748,0.00008,-0.00008,0,0.0429,0.00092,-0.00092,0,-0.5
81,81,CoRoT-36,0.68,0.47,-0.43,1,5.616531,0.000023,-0.000023,0,0.066,0.007,-0.007,0,-0.1
82,82,CoRoT-4,0.72,0.08,-0.08,0,9.20205,0.00037,-0.00037,0,0.09,0.001,-0.001,0,0.18
83,83,CoRoT-5,0.467,0.047,-0.024,0,4.0378962,0.0000019,-0.0000019,0,0.04947,0.00026,-0.00029,0,-0.05
84,84,CoRoT-6,2.96,0.34,-0.34,0,8.886593,0.000004,-0.000004,0,0.0855,0.0015,-0.0015,0,0.01
89,89,CoRoT-9,0.84,0.05,-0.05,0,95.272656,0.000068,-0.000068,0,0.4021,0.0054,-0.0054,0,-0.02
90,90,DENIS-P J082303.1-491201,28.5,1.9,-1.9,0,246.36,1.38,-1.35,0,0.36,0.01,-0.01,0,
91,91,DS Tuc A,1.3,,,1,8.138268,0.000011,-0.000011,0,,,,,0.01
135,135,EPIC 246851721,3,1.1,-1.2,0,6.180235,0.000014,-0.000014,0,0.07229,0.00074,-0.00075,0,0.14
136,136,EPIC 248847494,13,,,1,3650,1280,-1130,0,4.5,1,-1,0,-0.23
160,160,GJ 179,0.95,0.16,-0.11,0,2288,59,-59,0,2.41,0.04,-0.04,0,0.12
165,165,GJ 2030,12.803,2.335,-2.136,0,25533.11353,2549.01187,-2322.57168,0,16.761,1.294,-1.337,0,
171,171,GJ 3021,3.37,0.09,-0.09,0,133.71,0.2,-0.2,0,0.49,,,0,0.13
177,177,GJ 317,2.5,0.7,-0.4,0,695.66,0.355,-0.355,0,1.151,0.018,-0.018,0,0.22
178,178,GJ 317,1.64396,0.0601,-0.0601,0,6739.323,143.106,-143.106,0,5.23,0.111,-0.111,0,0.22
180,180,GJ 328,2.51,0.23,-0.23,0,3771,17,-17,0,4.11,0.16,-0.18,0,0
192,192,GJ 3512,0.46,0.02,-0.01,0,203.69,0.09,-0.02,0,0.337,0.001,-0.001,0,-0.07
216,216,GJ 463,3.6,0.4,-0.4,0,3448,110,-88,0,3.53,0.07,-0.07,0,
231,231,GJ 676 A,5.792,0.469,-0.477,0,1051.44521,0.37707,-0.40023,0,1.735,0.056,-0.06,0,0.08
232,232,GJ 676 A,13.492,1.046,-1.127,0,13921.42302,1232.33794,-1514.65143,0,9.726,0.629,-0.793,0,0.08
235,235,GJ 680,25.1,6.158,-11.149,0,17281.66514,4832.84502,-3919.17991,0,10.138,1.836,-1.696,0,
242,242,GJ 832,0.8,0.12,-0.11,0,3657,104,-104,0,3.56,0.28,-0.28,0,-0.17
243,243,GJ 849,0.893,0.094,-0.097,0,1925.31,6.5,-6.5,0,2.32,0.11,-0.13,0,0.22
245,245,GJ 86,4.42,0.2,-0.2,0,15.76491,0.00039,-0.00039,0,0.11,0,0,0,-0.31
246,246,GJ 876,2.2756,0.0045,-0.0045,0,61.1166,0.0086,-0.0086,0,0.208317,0.00002,-0.00002,0,0.14
247,247,GJ 876,0.7142,0.0039,-0.0039,0,30.0881,0.0082,-0.0082,0,0.12959,0.000024,-0.000024,0,0.14
255,255,GJ 9714,9.403,3.055,-1.695,0,19240.75467,8353.76637,-4514.3201,0,12.319,3.623,-2.23,0,
259,259,GPX-1,19.7,1.6,-1.6,0,1.744579,0.000008,-0.000008,0,0.0338,0.0003,-0.0003,0,0.35
260,260,Gaia-1,1.68,0.11,-0.11,0,3.052524,0.000017,-0.000017,0,0.04047,0.00094,-0.00094,0,
261,261,Gaia-2,0.817,0.047,-0.047,0,3.6915224,0.0000039,-0.0000039,0,0.0467,0.0015,-0.0015,0,
264,264,HAT-P-1,0.525,0.019,-0.019,0,4.46529976,0.00000055,-0.00000055,0,0.05561,0.00082,-0.00083,0,0.2
266,266,HAT-P-11,2.3,0.7,-0.5,0,3407,360,-190,0,4.13,0.29,-0.16,0,0.12
268,268,HAT-P-13,0.851,0.038,-0.038,0,2.91625,0.000015,-0.000015,0,0.04383,0.00068,-0.00068,0,0.48
269,269,HAT-P-13,14.28,0.28,-0.28,0,446.27,0.22,-0.22,0,1.258,0.02,-0.02,0,0.48
270,270,HAT-P-14,3.44,0.63,-0.63,0,4.62767,0.000005,-0.000005,0,0.0596,0.0005,-0.0005,0,0.11
271,271,HAT-P-15,1.94,0.3,-0.3,0,10.8635,0.000027,-0.000027,0,0.0965,0.0013,-0.0014,0,0.28
272,272,HAT-P-16,4.193,0.094,-0.094,0,2.77596,0.000003,-0.000003,0,0.0413,0.0004,-0.0004,0,0.21
273,273,HAT-P-17,0.58,0.06,-0.06,0,10.33852,0.000009,-0.000009,0,0.0882,0.0013,-0.0014,0,0.01
274,274,HAT-P-17,3.4,1.1,-0.7,0,5584,7700,-2100,0,5.6,3.5,-1.4,0,0.01
277,277,HAT-P-2,8.7,0.19,-0.2,0,5.6335158,0.0000036,-0.0000036,0,0.06814,0.00051,-0.00051,0,0.04
278,278,HAT-P-20,7.246,0.187,-0.187,0,2.875317,0.000004,-0.000004,0,0.0361,0.0005,-0.0005,0,0.18
279,279,HAT-P-21,4.87,1.57,-1.57,0,4.12448,0.000007,-0.000007,0,0.0494,0.0007,-0.0007,0,0.1
280,280,HAT-P-22,2.47,0.32,-0.32,0,3.21222,0.000009,-0.000009,0,0.0414,0.0005,-0.0005,0,0.27
281,281,HAT-P-23,2.09,0.111,-0.111,0,1.212884,0.000002,-0.000002,0,0.0232,0.0002,-0.0002,0,0.15
282,282,HAT-P-24,0.75,0.25,-0.25,0,3.35524,0.000007,-0.000007,0,0.04651,0.00055,-0.00056,0,-0.04
283,283,HAT-P-25,0.569,0.023,-0.022,0,3.65281514,0.00000076,-0.00000075,0,0.0466,0.00081,-0.0008,0,0.31
285,285,HAT-P-27,0.62,0.03,-0.03,0,3.039577,0.000005,-0.000006,0,0.04,0.0008,-0.0008,0,0.26
286,286,HAT-P-28,0.626,0.037,-0.037,0,3.257215,0.000007,-0.000007,0,0.0434,0.0007,-0.0007,0,0.1
287,287,HAT-P-29,0.88,0.25,-0.25,0,5.72319,0.000049,-0.000049,0,0.0667,0.0008,-0.0008,0,0.32
288,288,HAT-P-3,0.65,0.11,-0.11,0,2.8997,0.000054,-0.000054,0,0.03866,0.00041,-0.00041,0,0.28
289,289,HAT-P-30,0.83,0.18,-0.18,0,2.8106,0.000005,-0.000005,0,0.0419,0.00046,-0.00046,0,0.1
290,290,HAT-P-31,2.27,0.84,-0.84,0,5.00542,0.000091,-0.000091,0,0.061,0.0013,-0.0011,0,0.15
291,291,HAT-P-32,0.68,0.11,-0.1,0,2.1500082,0.00000013,-0.00000013,0,0.03397,0.00051,-0.0005,0,-0.04
292,292,HAT-P-33,0.92,0.5,-0.5,0,3.47447,0.000001,-0.000001,0,0.04995,0.00048,-0.00049,0,0.07
293,293,HAT-P-34,3.33,0.21,-0.2,0,5.452654,0.000016,-0.000016,0,0.06774,0.00074,-0.00076,0,0.08
294,294,HAT-P-35,1.056,0.033,-0.033,0,3.646706,0.000021,-0.000021,0,0.04978,0.00064,-0.00066,0,0.14
295,295,HAT-P-36,1.8482,0.087,-0.087,0,1.32734683,0.00000048,-0.00000048,0,0.0241,0.00047,-0.00047,0,0.28
296,296,HAT-P-37,1.169,0.103,-0.103,0,2.797436,0.000007,-0.000007,0,0.0379,0.0006,-0.0006,0,0.03
298,298,HAT-P-39,0.599,0.099,-0.099,0,3.54387,0.000005,-0.000005,0,0.0509,0.0006,-0.0006,0,0.22
299,299,HAT-P-4,0.671,0.033,-0.044,0,3.056536,,,0,0.04438,0.00081,-0.0015,0,0.34
300,300,HAT-P-40,0.48,0.13,-0.13,0,4.45724,0.00001,-0.00001,0,0.0608,0.0006,-0.0015,0,0.21
301,301,HAT-P-41,1.19,0.6,-0.6,0,2.69405,0.000004,-0.000004,0,0.04258,0.00047,-0.00048,0,0.13
302,302,HAT-P-42,1.044,0.083,-0.083,0,4.641878,0.000032,-0.000032,0,0.0575,0.0011,-0.0011,0,0.35
303,303,HAT-P-43,0.662,0.06,-0.06,0,3.3326414,0.0000151,-0.0000153,0,0.0444,0.0021,-0.0021,0,0.26
